customer_id,order_id,order_date,cohort_month,signup_date,country,order_value_eur,n_items
12346,491725,2009-12-14,2009-12,2009-12-14,United Kingdom,45.0,10
12346,491742,2009-12-14,2009-12,2009-12-14,United Kingdom,22.5,5
12346,491744,2009-12-14,2009-12,2009-12-14,United Kingdom,22.5,5
12346,492718,2009-12-18,2009-12,2009-12-14,United Kingdom,22.5,5
12346,492722,2009-12-18,2009-12,2009-12-14,United Kingdom,1.0,1
12346,493410,2010-01-04,2009-12,2009-12-14,United Kingdom,22.5,5
12346,493412,2010-01-04,2009-12,2009-12-14,United Kingdom,22.5,5
12346,494450,2010-01-14,2009-12,2009-12-14,United Kingdom,22.5,5
12346,495295,2010-01-22,2009-12,2009-12-14,United Kingdom,22.5,5
12346,499763,2010-03-02,2009-12,2009-12-14,United Kingdom,27.05,5
12346,513774,2010-06-28,2009-12,2009-12-14,United Kingdom,142.31,19
12346,541431,2011-01-18,2009-12,2009-12-14,United Kingdom,77183.6,74215
12347,529924,2010-10-31,2010-10,2010-10-31,Iceland,611.53,509
12347,537626,2010-12-07,2010-10,2010-10-31,Iceland,1423.58,638
12347,542237,2011-01-26,2010-10,2010-10-31,Iceland,475.39,315
12347,549222,2011-04-07,2010-10,2010-10-31,Iceland,636.25,483
12347,556201,2011-06-09,2010-10,2010-10-31,Iceland,382.52,196
12347,562032,2011-08-02,2010-10,2010-10-31,Iceland,584.91,277
12347,573511,2011-10-31,2010-10,2010-10-31,Iceland,1294.32,676
12347,581180,2011-12-07,2010-10,2010-10-31,Iceland,224.82,192
12348,524140,2010-09-27,2010-09,2010-09-27,Finland,222.16,373
12348,539318,2010-12-16,2010-09,2010-09-27,Finland,892.8,1254
12348,541998,2011-01-25,2010-09,2010-09-27,Finland,227.44,601
12348,548955,2011-04-05,2010-09,2010-09-27,Finland,367.0,269
12348,568172,2011-09-25,2010-09,2010-09-27,Finland,310.0,217
12349,506394,2010-04-29,2010-04,2010-04-29,Italy,1068.52,473
12349,508728,2010-05-18,2010-04,2010-04-29,Italy,200.0,1
12349,529344,2010-10-28,2010-04,2010-04-29,Italy,1402.62,519
12349,577609,2011-11-21,2010-04,2010-04-29,Italy,1757.55,631
12350,543037,2011-02-02,2011-02,2011-02-02,Norway,334.4,197
12351,536012,2010-11-29,2010-11,2010-11-29,Unspecified,300.93,261
12352,532430,2010-11-12,2010-11,2010-11-12,Norway,143.75,77
12352,535838,2010-11-29,2010-11,2010-11-12,Norway,200.05,111
12352,544156,2011-02-16,2010-11,2010-11-12,Norway,296.5,98
12352,545323,2011-03-01,2010-11,2010-11-12,Norway,144.35,26
12352,545332,2011-03-01,2010-11,2010-11-12,Norway,840.3,3
12352,546869,2011-03-17,2010-11,2010-11-12,Norway,120.33,63
12352,547390,2011-03-22,2010-11,2010-11-12,Norway,160.33,64
12352,567505,2011-09-20,2010-11,2010-11-12,Norway,366.25,103
12352,568699,2011-09-28,2010-11,2010-11-12,Norway,266.25,52
12352,574275,2011-11-03,2010-11,2010-11-12,Norway,311.73,127
12353,529304,2010-10-27,2010-10,2010-10-27,Bahrain,317.76,192
12353,553900,2011-05-19,2010-10,2010-10-27,Bahrain,89.0,20
